Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
388,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"October 30, 2024",21:10
389,Kennedy,SpaceX CRS-31,"2,762 kg",LEO,NASA,"Success
",F9B5,Success (,"November 5, 2024",02:29
390,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"November 7, 2024",20:19
391,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,"Success
",F9B5,Success (,"November 9, 2024",06:14
392,Kennedy,Koreasat,"3,500 kg",GTO,KT Sat,"Success
",F9B5,Success (,11 November 2024,17:22
393,Cape Canaveral,Starlink,"~17,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"November 11, 2024",21:28
394,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,"Success
",F9B5,Success (,"November 14, 2024",05:23
395,Cape Canaveral,Starlink,"~17,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"November 14, 2024",13:21
396,Kennedy,Optus,"~4,000 kg",GTO,Optus,"Success
",F9B5,Success (,"November 17, 2024",22:28
397,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,"Success
",F9B5,Success (,"November 18, 2024",05:53
398,Cape Canaveral,GSAT-20,"4,700 kg",GTO,New Space India Limited,"Success
",F9B5,Success (,"November 18, 2024",18:31
399,Cape Canaveral,Starlink,"~17,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"November 21, 2024",16:07
400,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,"Success
",F9B5,Success (,"November 24, 2024",05:25
401,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"November 25, 2024",10:02
402,Kennedy,Starlink,"~17,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"November 27, 2024",04:41
403,Cape Canaveral,Starlink,"~17,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"November 30, 2024",05:00
404,Vandenberg,NROL-126,"~16,100 kg",LEO,NRO,"Success
",F9B5,Success (,"November 30, 2024",08:10
405,Cape Canaveral,Starlink,"~17,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"December 4, 2024",10:13
406,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,"Success
",F9B5,Success (,"December 5, 2024",03:05
407,Kennedy,SXM-9,"7,000 kg",GTO,Sirius XM,"Success
",F9B5,Success (,"December 5, 2024",16:10
408,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"December 8, 2024",05:12
409,Vandenberg,Starlink,"~16,700 kg",LEO,SpaceX,"Success
",F9B5,Success (,"December 13, 2024",21:55
410,Cape Canaveral,GPS III,"~4,350 kg",MEO,USSF,"Success
",F9B5,Success (,"December 17, 2024",00:52
411,Vandenberg,Starshield,U,LEO,NRO,"Success
",F9B5,Success (,"December 17, 2024",13:19
412,Kennedy,O3b mPOWER,"3,400 kg",MEO,SES,"Success
",F9B5,Success (,"December 17, 2024",22:26
413,Vandenberg,Bandwagon-2,800 kg,LEO,Republic of Korea Armed Forces,"Success
",F9B5,Success (,"December 21, 2024",11:34
414,Kennedy,Starlink,"~16,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"December 23, 2024",05:35
415,Vandenberg,Starlink,"~16,700 kg",LEO,SpaceX,"Success
",F9B5,Success (,"December 29, 2024",01:58
416,Cape Canaveral,Astranis,"1,600 kg",GTO,Astranis,"Success
",F9B5,Success (,"December 29, 2024",05:00
